index,name,description,eso_link,img,reverse
52,Ace of Wands,,https://www.esotericmeanings.com/ace-of-wands-thoth-tarot-card-tutorial/,26,FALSE
53,Ace of Wands Reversed,,https://www.esotericmeanings.com/ace-of-wands-thoth-tarot-card-tutorial/,26,TRUE
54,Two of Wands,Dominion,https://www.esotericmeanings.com/two-of-wands-thoth-tarot-card-tutorial/,27,FALSE
55,Two of Wands Reversed,Dominion,https://www.esotericmeanings.com/two-of-wands-thoth-tarot-card-tutorial/,27,TRUE
56,Three of Wands,Virtue,https://www.esotericmeanings.com/three-of-wands-thoth-tarot-card-tutorial/,28,FALSE
57,Three of Wands Reversed,Virtue,https://www.esotericmeanings.com/three-of-wands-thoth-tarot-card-tutorial/,28,TRUE
58,Four of Wands,Completion,https://www.esotericmeanings.com/four-of-wands-thoth-tarot-card-tutorial/,29,FALSE
59,Four of Wands Reversed,Completion,https://www.esotericmeanings.com/four-of-wands-thoth-tarot-card-tutorial/,29,TRUE
60,Five of Wands,Strife,https://www.esotericmeanings.com/five-of-wands-thoth-tarot-card-tutorial/,30,FALSE
61,Five of Wands Reversed,Strife,https://www.esotericmeanings.com/five-of-wands-thoth-tarot-card-tutorial/,30,TRUE
62,Six of Wands,Victory,https://www.esotericmeanings.com/six-of-wands-thoth-tarot-card-tutorial/,31,FALSE
63,Six of Wands Reversed,Victory,https://www.esotericmeanings.com/six-of-wands-thoth-tarot-card-tutorial/,31,TRUE
64,Seven of Wands,Valor,https://www.esotericmeanings.com/seven-of-wands-thoth-tarot-card-tutorial/,32,FALSE
65,Seven of Wands Reversed,Valor,https://www.esotericmeanings.com/seven-of-wands-thoth-tarot-card-tutorial/,32,TRUE
66,Eight of Wands,Swiftness,https://www.esotericmeanings.com/eight-of-wands-thoth-tarot-card-tutorial/,33,FALSE
67,Eight of Wands Reversed,Swiftness,https://www.esotericmeanings.com/eight-of-wands-thoth-tarot-card-tutorial/,33,TRUE
68,Nine of Wands,Strength,https://www.esotericmeanings.com/nine-of-wands-thoth-tarot-card-tutorial/,34,FALSE
69,Nine of Wands Reversed,Strength,https://www.esotericmeanings.com/nine-of-wands-thoth-tarot-card-tutorial/,34,TRUE
70,Ten of Wands,Opression,https://www.esotericmeanings.com/ten-of-wands-thoth-tarot-card-tutorial/,35,FALSE
71,Ten of Wands Reversed,Opression,https://www.esotericmeanings.com/ten-of-wands-thoth-tarot-card-tutorial/,35,TRUE
72,Knight of Cups,,https://www.esotericmeanings.com/knight-of-cups-thoth-tarot-card-tutorial/,36,FALSE
73,Knight of Cups Reversed,,https://www.esotericmeanings.com/knight-of-cups-thoth-tarot-card-tutorial/,36,TRUE
74,Queen of Cups,,https://www.esotericmeanings.com/queen-of-cups-thoth-tarot-card-tutorial/,37,FALSE
75,Queen of Cups Reversed,,https://www.esotericmeanings.com/queen-of-cups-thoth-tarot-card-tutorial/,37,TRUE
76,Prince of Cups,,https://www.esotericmeanings.com/prince-of-cups-thoth-tarot-card-tutorial/,38,FALSE
77,Prince of Cups Reversed,,https://www.esotericmeanings.com/prince-of-cups-thoth-tarot-card-tutorial/,38,TRUE
78,Princess of Cups,,https://www.esotericmeanings.com/princess-of-cups-thoth-tarot-card-tutorial/,39,FALSE
79,Princess of Cups Reversed,,https://www.esotericmeanings.com/princess-of-cups-thoth-tarot-card-tutorial/,39,TRUE
80,Ace of Cups,,https://www.esotericmeanings.com/ace-of-cups-thoth-tarot-card-tutorial/,40,FALSE
81,Ace of Cups Reversed,,https://www.esotericmeanings.com/ace-of-cups-thoth-tarot-card-tutorial/,40,TRUE
82,Two of Cups,Love,https://www.esotericmeanings.com/two-of-cups-thoth-tarot-card-tutorial/,41,FALSE
83,Two of Cups Reversed,Love,https://www.esotericmeanings.com/two-of-cups-thoth-tarot-card-tutorial/,41,TRUE
84,Three of Cups,Abundance,https://www.esotericmeanings.com/three-of-cups-thoth-tarot-card-tutorial/,42,FALSE
85,Three of Cups Reversed,Abundance,https://www.esotericmeanings.com/three-of-cups-thoth-tarot-card-tutorial/,42,TRUE
86,Four of Cups,Luxury,https://www.esotericmeanings.com/four-of-cups-thoth-tarot-card-tutorial/,43,FALSE
87,Four of Cups Reversed,Luxury,https://www.esotericmeanings.com/four-of-cups-thoth-tarot-card-tutorial/,43,TRUE
88,Five of Cups,Disappointment,http://www.esotericmeanings.com/five-of-cups-thoth-tarot-card-tutorial/,44,FALSE
89,Five of Cups Reversed,Disappointment,http://www.esotericmeanings.com/five-of-cups-thoth-tarot-card-tutorial/,44,TRUE
90,Six of Cups,Pleasure,http://www.esotericmeanings.com/six-of-cups-thoth-tarot-card-tutorial/,45,FALSE
91,Six of Cups Reversed,Pleasure,http://www.esotericmeanings.com/six-of-cups-thoth-tarot-card-tutorial/,45,TRUE
